1,0,11B10101,1
1,1,11B20201,1
1,2,11B20601,1
1,3,11B20605,0
1,4,11B20602,0
1,5,11B10103,0
1,6,11B10102,0
1,7,11B20606,1
1,8,11B20603,0
1,9,11B20609,0
1,10,11B20612,0
1,11,11B20610,0
1,12,11B20611,0
1,13,11B20604,0
1,14,11B20503,0
1,15,11B20501,0
1,16,11B20502,0
1,17,11B20504,0
1,18,11B20701,1
1,19,11B20703,0
1,20,11B20702,0
1,21,11B20301,0
1,22,11B20302,0
1,23,11B20305,1
1,24,11B20304,0
1,25,11B20401,0
1,26,11B20402,0
1,27,11B20403,0
1,28,11B20404,0
1,29,11B20101,0
1,30,11B20102,0
1,31,11B20202,0
1,32,11B20204,0
1,33,11B20203,0
1,34,11A00101,0
2,35,11H20201,1
2,36,11H20101,1
2,37,11H20304,0
2,38,11H20102,0
2,39,11H20301,1
2,40,11H20601,0
2,41,11H20603,0
2,42,11H20604,0
2,43,11H20602,0
2,44,11H20701,1
2,45,11H20704,0
2,46,11H20402,0
2,47,11H20502,1
2,48,11H20503,0
2,49,11H20703,0
2,50,11H20501,0
2,51,11H20401,1
2,52,11H20403,0
2,53,11H20404,0
2,54,11H20405,0
3,55,11H10701,1
3,56,11H10702,0
3,57,11H10703,0
3,58,11H10704,0
3,59,11H10705,0
3,60,11H10601,0
3,61,11H10602,0
3,62,11H10603,0
3,63,11H10604,0
3,64,11H10605,0
3,65,11H10501,1
3,66,11H10502,0
3,67,11H10503,0
3,68,11H10302,0
3,69,11H10301,0
3,70,11H10303,0
3,71,11H10401,0
3,72,11H10402,0
3,73,11H10403,0
3,74,11H10101,1
3,75,11H10102,0
3,76,11H10201,1
3,77,11H10202,1
4,78,11F20501,1
4,79,11F20503,1
4,80,11F20502,0
4,81,11F20504,0
4,82,11F20505,0
4,83,21F20102,0
4,84,21F20101,0
4,85,21F20801,1
4,86,21F20804,0
4,87,21F20802,0
4,88,21F20201,0
4,89,21F20803,0
4,90,11F20701,0
4,91,11F20603,1
4,92,11F20402,1
4,93,11F20601,0
4,94,11F20602,0
4,95,11F20301,0
4,96,11F20303,0
4,97,11F20304,0
4,98,11F20302,0
4,99,11F20401,1
4,100,11F20403,0
4,101,11F20404,0
5,102,11F10201,1
5,103,11F10202,0
5,104,21F10501,1
5,105,11F10203,1
5,106,21F10502,0
5,107,11F10401,1
5,108,21F10601,1
5,109,11F10302,1
5,110,21F10602,0
5,111,11F10403,0
5,112,11F10204,0
5,113,11F10402,0
5,114,11F10301,0
5,115,11F10303,0
6,116,11C20401,1
6,117,11C20404,1
6,118,11C20402,0
6,119,11C20602,0
6,120,11C20403,0
6,121,11C20601,0
6,122,11C20301,0
6,123,11C20302,0
6,124,11C20303,0
6,125,11C20101,0
6,126,11C20102,0
6,127,11C20103,0
6,128,11C20104,1
6,129,11C20201,0
6,130,11C20202,0
6,131,11C20502,0
6,132,11C20501,0
7,133,11C10301,1
7,134,11C10304,0
7,135,11C10303,0
7,136,11C10102,0
7,137,11C10101,1
7,138,11C10103,0
7,139,11C10201,0
7,140,11C10202,0
7,141,11C10302,0
7,142,11C10403,0
7,143,11C10402,1
7,144,11C10401,0
8,145,11D10101,0
8,146,11D10102,0
8,147,11D10201,0
8,148,11D10202,0
8,149,11D10301,1
8,150,11D10302,0
8,151,11D10401,1
8,152,11D10402,0
8,153,11D10501,0
8,154,11D10502,0
8,155,11D10503,0
8,156,11D20201,0
8,157,11D20401,0
8,158,11D20402,0
8,159,11D20403,0
8,160,11D20501,1
8,161,11D20601,0
8,162,11D20602,0
8,163,11D20301,0
9,164,11G00201,1
9,165,11G00401,1
9,166,11G00101,0
9,167,11G00501,0
9,168,11G00302,0
9,169,11G00601,0
9,170,11G00800,0
